2025-11-20	18:55:14	c653d084-e2eb-4067-828d-f68d82513e02	GET  	  undefined  	  / 
2025-11-20	18:55:14	5540ed9c-db5a-4e49-9202-ea5e0fa00d07	GET  	  undefined  	  /css/style.css 
2025-11-20	18:55:14	63ccabbd-6f21-432a-9966-3ebd63de7619	GET  	  undefined  	  / 
2025-11-20	18:55:14	a89cb729-b09c-44e0-bcd1-21923febcbf3	GET  	  undefined  	  /css/style.css 
2025-11-20	19:01:49	812a424a-8a80-4ece-bdad-1fd8efc8a6a0	GET  	  undefined  	  / 
2025-11-20	19:01:49	b525b32d-4728-433a-9e39-b81c907e58c4	GET  	  undefined  	  /css/style.css 
2025-11-20	19:15:58	337e3a23-1b1d-4884-9fa8-b6836cd91f31	GET  	  https://www.google.com  	  / 
2025-11-20	19:50:14	ba9206f2-3289-433e-910a-65909486fe77	GET  	  https://www.google.com  	  / 
2025-11-20	19:51:30	8d4befca-78a1-43bd-97d3-b9f470683e07	GET  	  https://www.google.com  	  / 
2025-11-20	20:16:48	96536192-1d70-40ad-8aa9-70c2bea19e74	GET  	  undefined  	  / 
2025-11-20	20:17:16	f7ca73cc-ac4e-4a4a-9433-c63b6fd2fa28	GET  	  undefined  	  /.well-known/appspecific/com.chrome.devtools.json 
2025-11-20	20:17:38	86ab0da1-f15e-4f48-b96d-5543e0934a31	GET  	  undefined  	  / 
2025-11-20	20:17:38	f2c71333-2717-4ab2-82d2-1564169cd955	GET  	  undefined  	  /css/style.css 
2025-11-20	20:17:38	c4c83b36-9030-4ec6-a2c5-e092f7f3ca3b	GET  	  undefined  	  /.well-known/appspecific/com.chrome.devtools.json 
2025-11-21	19:06:36	aefeac47-52ed-4685-9d51-b9ab99120cbb	GET  	  undefined  	  / 
2025-11-21	19:06:36	64401f4c-e108-49b5-ac96-85e11102cc2b	GET  	  undefined  	  /css/style.css 
2025-11-21	19:06:36	a7344b77-aad1-4cfb-9242-9a8f88422feb	GET  	  undefined  	  /favicon.ico 
2025-11-21	19:06:43	6f713adb-1f13-4479-b3e4-e4a00482f1e2	GET  	  undefined  	  /subdir 
2025-11-21	19:06:49	01c23176-a068-43c2-b4df-1de4b9762041	GET  	  undefined  	  /subdir/test 
2025-11-21	19:17:06	d43b9fad-ebc6-4575-88e5-a2f98679f5c1	GET  	  undefined  	  / 
2025-11-21	19:17:31	0ca45926-619e-445c-8e8a-5db026df4d6d	GET  	  undefined  	  / 
2025-11-21	19:17:31	da8246d1-5a1f-4753-ac1b-21185b93c985	GET  	  undefined  	  /css/style.css 
2025-11-21	19:17:36	8eda8668-2349-49c4-81bd-1ed36905b3f6	GET  	  undefined  	  /new-page 
2025-11-21	19:17:36	954e5cbb-ef9b-42bc-8e8a-b2939e7e6a80	GET  	  undefined  	  /css/style.css 
2025-11-21	19:17:36	a3a16041-648c-488e-8da8-5b215d1ba0b6	GET  	  undefined  	  /img/img1.jpg 
2025-11-21	19:17:47	2f7af8d5-99eb-4788-93a4-7003490889d5	GET  	  undefined  	  /new-page.html 
2025-11-21	19:17:47	f8b847ed-80f3-4056-a336-1f61ac03df60	GET  	  undefined  	  /css/style.css 
2025-11-21	19:17:47	80d08151-5356-4091-9961-b9e42c58e4e2	GET  	  undefined  	  /img/img1.jpg 
2025-11-21	20:45:37	4551dcfa-a91c-4913-8bc2-f8df2efa3b3a	GET  	  undefined  	  /employee 
2025-11-21	20:54:17	aece2ead-26b7-485b-8757-0e0f5089c34b	GET  	  undefined  	  /employee 
2025-11-21	20:55:57	5b0d993e-bb7b-441e-a8b4-ce2a1ea765ea	POST  	  undefined  	  /localhost:3500/employee 
2025-11-21	20:56:11	1f05c42e-2de1-4b48-8997-93fddbb0fbc6	POST  	  undefined  	  /employee 
2025-11-21	20:56:22	afcde3e8-87ab-42fb-ad43-654217f49afb	POST  	  undefined  	  /employee 
2025-11-21	21:00:07	6928d0b6-7042-4ae0-815e-93e4218aff48	POST  	  undefined  	  /employee 
